iter	Passed	Remaining
598	3316	2220
599	3321	2214
600	3324	2207
601	3327	2200
602	3335	2195
603	3338	2188
604	3340	2181
605	3343	2173
606	3345	2166
607	3350	2160
608	3352	2152
609	3355	2145
610	3358	2138
611	3366	2134
612	3369	2127
613	3373	2120
614	3376	2113
615	3379	2106
616	3383	2100
617	3386	2092
618	3389	2086
619	3395	2080
620	3398	2073
621	3400	2066
622	3403	2059
623	3407	2053
624	3410	2046
625	3412	2039
626	3415	2031
627	3419	2025
628	3423	2019
629	3426	2012
630	3429	2005
631	3431	1998
632	3434	1991
633	3437	1984
634	3439	1977
635	3442	1969
636	3444	1962
637	3448	1956
638	3451	1949
639	3454	1943
640	3458	1936
641	3460	1929
642	3463	1922
643	3467	1916
644	3470	1910
645	3473	1903
646	3477	1897
647	3482	1891
648	3485	1885
649	3488	1878
650	3492	1872
651	3495	1865
652	3498	1859
653	3501	1852
654	3503	1845
655	3508	1839
656	3513	1834
657	3516	1827
658	3519	1821
659	3523	1814
660	3526	1808
661	3532	1803
662	3537	1797
663	3539	1791
664	3545	1785
665	3547	1779
666	3551	1773
667	3554	1766
668	3558	1760
669	3561	1754
670	3565	1748
671	3567	1741
672	3571	1735
673	3576	1729
674	3578	1723
675	3581	1716
676	3584	1710
677	3588	1704
678	3591	1697
679	3594	1691
680	3601	1687
681	3605	1681
682	3609	1675
683	3611	1668
684	3614	1662
685	3622	1658
686	3625	1651
687	3628	1645
688	3631	1639
689	3636	1633
690	3638	1627
691	3641	1620
692	3644	1614
693	3646	1608
694	3650	1602
695	3653	1595
696	3656	1589
697	3659	1583
698	3671	1580
699	3674	1574
700	3677	1568
701	3679	1562
702	3683	1556
703	3686	1549
704	3688	1543
705	3693	1537
706	3701	1533
707	3704	1527
708	3707	1521
709	3710	1515
710	3714	1509
711	3716	1503
712	3719	1497
713	3722	1491
714	3729	1486
715	3732	1480
716	3734	1474
717	3740	1469
718	3744	1463
719	3747	1457
720	3750	1451
721	3753	1445
722	3759	1440
723	3761	1433
724	3764	1427
725	3767	1421
726	3775	1417
727	3778	1411
728	3780	1405
729	3783	1399
730	3786	1393
731	3797	1390
732	3800	1384
733	3802	1378
734	3810	1373
735	3813	1368
736	3817	1362
737	3821	1356
738	3825	1350
739	3827	1344
740	3829	1338
741	3832	1332
742	3836	1326
743	3839	1321
744	3842	1315
745	3845	1309
746	3851	1304
747	3855	1298
748	3860	1293
749	3863	1287
750	3867	1282
751	3871	1276
752	3876	1271
753	3884	1267
754	3887	1261
755	3890	1255
756	3894	1250
757	3898	1244
758	3901	1238
759	3903	1232
760	3906	1226
761	3911	1221
762	3918	1217
763	3921	1211
764	3923	1205
765	3926	1199
766	3930	1193
767	3933	1188
768	3935	1182
769	3948	1179
770	3951	1173
771	3954	1167
772	3957	1162
773	3960	1156
774	3964	1150
775	3967	1145
776	3983	1143
777	3986	1137
778	3993	1132
779	3998	1127
780	4003	1122
781	4009	1117
782	4018	1113
783	4022	1108
784	4025	1102
785	4030	1097
786	4033	1091
787	4040	1087
788	4046	1082
789	4049	1076
790	4078	1077
791	4086	1073
792	4088	1067
793	4091	1061
794	4094	1055
795	4101	1051
796	4103	1045
797	4106	1039
798	4109	1033
799	4118	1029
800	4123	1024
801	4129	1019
802	4136	1014
803	4141	1009
804	4143	1003
805	4147	998
806	4157	994
807	4161	988
808	4167	983
809	4170	978
810	4173	972
811	4175	966
812	4179	961
813	4182	955
814	4185	950
815	4188	944
816	4195	939
817	4197	933
818	4200	928
819	4202	922
820	4205	916
821	4211	911
822	4213	906
823	4216	900
824	4220	895
825	4225	890
826	4228	884
827	4235	879
828	4239	874
829	4243	869
830	4247	863
831	4251	858
832	4256	853
833	4261	848
834	4263	842
835	4266	837
836	4271	831
837	4273	826
838	4281	821
839	4288	816
840	4292	811
841	4296	806
842	4299	800
843	4304	795
844	4308	790
845	4315	785
846	4322	780
847	4326	775
848	4330	770
849	4333	764
850	4342	760
851	4345	754
852	4349	749
853	4352	744
854	4362	739
855	4374	735
856	4377	730
857	4382	725
858	4388	720
859	4393	715
860	4400	710
861	4406	705
862	4416	701
863	4422	696
864	4426	690
865	4432	685
866	4438	680
867	4441	675
868	4444	669
869	4447	664
870	4454	659
871	4460	654
872	4468	650
873	4473	644
874	4477	639
875	4482	634
876	4485	629
877	4488	623
878	4491	618
879	4497	613
880	4504	608
881	4508	603
882	4514	598
883	4516	592
884	4519	587
885	4521	581
886	4528	576
887	4531	571
888	4535	566
889	4539	561
890	4543	555
891	4546	550
892	4549	545
893	4555	540
894	4562	535
895	4566	530
896	4570	524
897	4574	519
898	4583	514
899	4597	510
900	4602	505
901	4607	500
902	4610	495
903	4613	489
904	4617	484
905	4623	479
906	4626	474
907	4629	469
908	4634	463
909	4638	458
910	4641	453
911	4644	448
912	4647	442
913	4654	437
914	4657	432
915	4660	427
916	4664	422
917	4677	417
918	4683	412
919	4687	407
920	4691	402
921	4697	397
922	4701	392
923	4704	386
924	4710	381
925	4714	376
926	4718	371
927	4722	366
928	4728	361
929	4733	356
930	4738	351
931	4744	346
932	4747	340
933	4752	335
934	4761	331
935	4766	325
936	4769	320
937	4772	315
938	4778	310
939	4782	305
940	4787	300
941	4792	295
942	4802	290
943	4807	285
944	4812	280
945	4815	274
946	4819	269
947	4825	264
948	4841	260
949	4849	255
950	4852	249
951	4864	245
952	4868	240
953	4870	234
954	4873	229
955	4876	224
956	4879	219
957	4882	214
958	4887	208
959	4892	203
960	4895	198
961	4898	193
962	4900	188
963	4903	183
964	4907	178
965	4915	173
966	4918	167
967	4923	162
968	4927	157
969	4932	152
970	4935	147
971	4939	142
972	4942	137
973	4945	132
974	4960	127
975	4963	122
976	4967	116
977	4972	111
978	4974	106
979	4978	101
980	4982	96
981	4986	91
982	4989	86
983	4992	81
984	4995	76
985	5007	71
986	5013	66
987	5020	60
988	5023	55
989	5026	50
990	5029	45
991	5033	40
992	5036	35
993	5039	30
994	5043	25
995	5048	20
996	5051	15
997	5053	10
998	5057	5
999	5060	0
